San Angelo,Midland,112.2834231
San Angelo,Lubbock,185.1135794
San Angelo,Abilene,95.26906977
San Angelo,San Antonio,210.8494821
San Antonio,New Braunfels,30.80876734
San Antonio,Seguin,33.99204585
San Antonio,Three Rivers,74.50909807
San Antonio,Uvalde,82.70993933
Austin,San Marcos,30.71742595
Austin,Round Rock,18.46400955
Austin,College Station,106.7588224
Austin,Houston,165.9076541
Temple,Waco,35.94252628
College Station,Waco,97.82787143
College Station,Houston,99.20917694
Houston,Beaumont,99.57951346
Houston,Galveston,65.02139954
Houston,Columbus,72.51512174
Houston,Sugar Land,59.1357829
Victoria,Gonzalez,60.3723092
Gonzalez,Seguin,33.4234923
Corpus Christi,Victoria,89.12185636
Corpus Christi,Three Rivers,81.17701954
Alice,Laredo,98.54431104
Alice,Three Rivers,51.26861733
Alice,McAllen,113.6156404
Laredo,McAllen,144.3001337
Del Rio,Uvalde,70.27570426
El Paso,Odessa,325.8408357
McAllen,Brownsville,59.20599771
Waco,Palestine,117.156828
Waco,Fort Worth,106.0914711
Waco,Dallas,98.6300601
Dallas,Fort Worth,39.03943436
Lubbock,Midland,117.0903414
Lubbock,Amarillo,122.9827931
Amarillo,Dalhart,85.07238807
Fort Worth,Wichita Falls,116.7311896
Midland,Odessa,24.06690284
San Marcos,New Braunfels,18.48948572
San Marcos,Gonzalez,42.19972218
New Braunfels,Seguin,15.28073104
Columbus,Seguin,89.60403948
Galveston,Jamaica Beach,15.73246703
Texarkana,Dallas,178.7551002
Three Rivers,Kenedy,33.25447966
Round Rock,Temple,49.72389151
